accession,length,description
PH015005.1,20,"JP 2023522022-A/22: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015004.1,20,"JP 2023522022-A/21: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015003.1,20,"JP 2023522022-A/20: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015002.1,20,"JP 2023522022-A/19: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015001.1,20,"JP 2023522022-A/18: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH014996.1,20,"JP 2023522022-A/13: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015000.1,20,"JP 2023522022-A/17: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015017.1,20,"JP 2023522022-A/34: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PG349456.1,20,JP 2023516300-A/326: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349457.1,20,JP 2023516300-A/327: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PH015014.1,20,"JP 2023522022-A/31: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015013.1,20,"JP 2023522022-A/30: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015010.1,20,"JP 2023522022-A/27: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PG349325.1,20,JP 2023516300-A/195: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349324.1,20,JP 2023516300-A/194: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349323.1,20,JP 2023516300-A/193: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349322.1,20,JP 2023516300-A/192: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349321.1,20,JP 2023516300-A/191: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349320.1,20,JP 2023516300-A/190: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349319.1,20,JP 2023516300-A/189: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349318.1,20,JP 2023516300-A/188: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349447.1,20,JP 2023516300-A/317: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349446.1,20,JP 2023516300-A/316: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349445.1,20,JP 2023516300-A/315: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349330.1,20,JP 2023516300-A/200: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349329.1,20,JP 2023516300-A/199: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349328.1,20,JP 2023516300-A/198: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349327.1,20,JP 2023516300-A/197: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349326.1,20,JP 2023516300-A/196: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349455.1,20,JP 2023516300-A/325: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349454.1,20,JP 2023516300-A/324: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349453.1,20,JP 2023516300-A/323: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349452.1,20,JP 2023516300-A/322: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349451.1,20,JP 2023516300-A/321: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349450.1,20,JP 2023516300-A/320: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349449.1,20,JP 2023516300-A/319: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349448.1,20,JP 2023516300-A/318: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349997.1,20,JP 2023516300-A/867: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349996.1,20,JP 2023516300-A/866: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349995.1,20,JP 2023516300-A/865: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349994.1,20,JP 2023516300-A/864: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349993.1,20,JP 2023516300-A/863: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349992.1,20,JP 2023516300-A/862: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349991.1,20,JP 2023516300-A/861: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349990.1,20,JP 2023516300-A/860: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG350005.1,20,JP 2023516300-A/875: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG350004.1,20,JP 2023516300-A/874: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG350003.1,20,JP 2023516300-A/873: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG350002.1,20,JP 2023516300-A/872: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG350001.1,20,JP 2023516300-A/871: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG350000.1,20,JP 2023516300-A/870: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349999.1,20,JP 2023516300-A/869: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349998.1,20,JP 2023516300-A/868: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PH014991.1,20,"JP 2023522022-A/8: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PG191456.1,20,JP 2023502780-A/192: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191455.1,20,JP 2023502780-A/191: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191454.1,20,JP 2023502780-A/190: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191453.1,20,JP 2023502780-A/189: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191452.1,20,JP 2023502780-A/188: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PH014992.1,20,"JP 2023522022-A/9: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PG349940.1,20,JP 2023516300-A/810: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349941.1,20,JP 2023516300-A/811: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349942.1,20,JP 2023516300-A/812: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349943.1,20,JP 2023516300-A/813: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349944.1,20,JP 2023516300-A/814: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349945.1,20,JP 2023516300-A/815: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349946.1,20,JP 2023516300-A/816: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG048713.1,20,JP 2022536606-A/21: Models Of Tauopathy
PG048712.1,20,JP 2022536606-A/20: Models Of Tauopathy
PG048711.1,20,JP 2022536606-A/19: Models Of Tauopathy
PG048710.1,20,JP 2022536606-A/18: Models Of Tauopathy
PG172053.1,20,JP 2022548031-A/23: TRANSCRIPTION MODULATION IN ANIMALS USING CRISPR/CAS SYSTEMS DELIVERED BY LIPID NANOPARTICLES
PG172052.1,20,JP 2022548031-A/22: TRANSCRIPTION MODULATION IN ANIMALS USING CRISPR/CAS SYSTEMS DELIVERED BY LIPID NANOPARTICLES
PG172051.1,20,JP 2022548031-A/21: TRANSCRIPTION MODULATION IN ANIMALS USING CRISPR/CAS SYSTEMS DELIVERED BY LIPID NANOPARTICLES
PG048718.1,20,JP 2022536606-A/26: Models Of Tauopathy
PG048717.1,20,JP 2022536606-A/25: Models Of Tauopathy
PG048716.1,20,JP 2022536606-A/24: Models Of Tauopathy
PG048715.1,20,JP 2022536606-A/23: Models Of Tauopathy
PG048714.1,20,JP 2022536606-A/22: Models Of Tauopathy
PC493707.1,20,JP 2022513333-A/1: Method for diagnosing diseases using multiplex fluorescence and sequencing
PG349947.1,20,JP 2023516300-A/817: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349921.1,20,JP 2023516300-A/791: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349922.1,20,JP 2023516300-A/792: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349923.1,20,JP 2023516300-A/793: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349924.1,20,JP 2023516300-A/794: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349925.1,20,JP 2023516300-A/795: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PC423352.1,20,JP 2021523943-A/13: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423351.1,20,JP 2021523943-A/12: GENE EDITING FOR AUTOIMMUNE DISORDERS
PG349926.1,20,JP 2023516300-A/796: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349927.1,20,JP 2023516300-A/797: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349939.1,20,JP 2023516300-A/809: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PD154225.1,20,JP 2022512892-A/12: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD291783.1,20,JP 2022519595-A/209: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291784.1,20,JP 2022519595-A/210: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG349969.1,20,JP 2023516300-A/839: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349968.1,20,JP 2023516300-A/838: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349967.1,20,JP 2023516300-A/837: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PD291785.1,20,JP 2022519595-A/211: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PC386872.1,20,JP 2021518161-A/1547: GENE-REGULATING COMPOSITIONS AND METHODS FOR IMPROVED IMMUNOTHERAPY
PD291786.1,20,JP 2022519595-A/212: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG349989.1,20,JP 2023516300-A/859: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349988.1,20,JP 2023516300-A/858: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349987.1,20,JP 2023516300-A/857: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349974.1,20,JP 2023516300-A/844: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349973.1,20,JP 2023516300-A/843: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349972.1,20,JP 2023516300-A/842: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349971.1,20,JP 2023516300-A/841: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349970.1,20,JP 2023516300-A/840: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191579.1,20,JP 2023502780-A/315: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191464.1,20,JP 2023502780-A/200: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191463.1,20,JP 2023502780-A/199: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191462.1,20,JP 2023502780-A/198: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191461.1,20,JP 2023502780-A/197: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191460.1,20,JP 2023502780-A/196: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191459.1,20,JP 2023502780-A/195: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191458.1,20,JP 2023502780-A/194: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191587.1,20,JP 2023502780-A/323: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191586.1,20,JP 2023502780-A/322: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191585.1,20,JP 2023502780-A/321: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191584.1,20,JP 2023502780-A/320: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191583.1,20,JP 2023502780-A/319: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191582.1,20,JP 2023502780-A/318: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191581.1,20,JP 2023502780-A/317: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191580.1,20,JP 2023502780-A/316: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192056.1,20,JP 2023502780-A/792: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192055.1,20,JP 2023502780-A/791: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192054.1,20,JP 2023502780-A/790: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PH019395.1,20,JP 2023524247-A/35: COMPOSITIONS AND USES THEREOF FOR TREATMENT OF ANGELMAN SYNDROME
PG191591.1,20,JP 2023502780-A/327: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191590.1,20,JP 2023502780-A/326: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191589.1,20,JP 2023502780-A/325: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191588.1,20,JP 2023502780-A/324: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PC423350.1,20,JP 2021523943-A/11: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423349.1,20,JP 2021523943-A/10: GENE EDITING FOR AUTOIMMUNE DISORDERS
PG192073.1,20,JP 2023502780-A/809: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192061.1,20,JP 2023502780-A/797: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192060.1,20,JP 2023502780-A/796: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192059.1,20,JP 2023502780-A/795: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192058.1,20,JP 2023502780-A/794: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192057.1,20,JP 2023502780-A/793: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192105.1,20,JP 2023502780-A/841: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192104.1,20,JP 2023502780-A/840: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192103.1,20,JP 2023502780-A/839: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192102.1,20,JP 2023502780-A/838: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192101.1,20,JP 2023502780-A/837: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192087.1,20,JP 2023502780-A/823: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192086.1,20,JP 2023502780-A/822: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192085.1,20,JP 2023502780-A/821: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192125.1,20,JP 2023502780-A/861: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192124.1,20,JP 2023502780-A/860: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192123.1,20,JP 2023502780-A/859: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192122.1,20,JP 2023502780-A/858: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192121.1,20,JP 2023502780-A/857: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192108.1,20,JP 2023502780-A/844: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192107.1,20,JP 2023502780-A/843: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192106.1,20,JP 2023502780-A/842: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PC423341.1,20,JP 2021523943-A/2: GENE EDITING FOR AUTOIMMUNE DISORDERS
PD291787.1,20,JP 2022519595-A/213: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291788.1,20,JP 2022519595-A/214: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG192130.1,20,JP 2023502780-A/866: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192129.1,20,JP 2023502780-A/865: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192128.1,20,JP 2023502780-A/864: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192127.1,20,JP 2023502780-A/863: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192126.1,20,JP 2023502780-A/862: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG191457.1,20,JP 2023502780-A/193: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PC423348.1,20,JP 2021523943-A/9: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423347.1,20,JP 2021523943-A/8: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423346.1,20,JP 2021523943-A/7: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423345.1,20,JP 2021523943-A/6: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423344.1,20,JP 2021523943-A/5: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423343.1,20,JP 2021523943-A/4: GENE EDITING FOR AUTOIMMUNE DISORDERS
PC423342.1,20,JP 2021523943-A/3: GENE EDITING FOR AUTOIMMUNE DISORDERS
PG156649.1,20,JP 2023510352-A/62: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156648.1,20,JP 2023510352-A/61: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156647.1,20,JP 2023510352-A/60: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156646.1,20,JP 2023510352-A/59: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156645.1,20,JP 2023510352-A/58: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156644.1,20,JP 2023510352-A/57: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156643.1,20,JP 2023510352-A/56: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG192139.1,20,JP 2023502780-A/875: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PD291789.1,20,JP 2022519595-A/215: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG156656.1,20,JP 2023510352-A/69: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156655.1,20,JP 2023510352-A/68: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156654.1,20,JP 2023510352-A/67: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156653.1,20,JP 2023510352-A/66: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156652.1,20,JP 2023510352-A/65: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156651.1,20,JP 2023510352-A/64: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG156650.1,20,JP 2023510352-A/63: COMPOSITIONS AND METHODS FOR THE TARGETING OF PCSK9
PG192076.1,20,JP 2023502780-A/812: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192075.1,20,JP 2023502780-A/811: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192074.1,20,JP 2023502780-A/810: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349920.1,20,JP 2023516300-A/790: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PH015405.1,20,JP 2023522205-A/7: METHODS OF RESTORING FUNCTIONAL CAPACITY AND LINEAGE COMPOSITION OF AN AGING BLOOD AND VASCULAR SYSTEM
PH015406.1,20,JP 2023522205-A/8: METHODS OF RESTORING FUNCTIONAL CAPACITY AND LINEAGE COMPOSITION OF AN AGING BLOOD AND VASCULAR SYSTEM
PD291781.1,20,JP 2022519595-A/207: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291782.1,20,JP 2022519595-A/208: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG192084.1,20,JP 2023502780-A/820: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192083.1,20,JP 2023502780-A/819: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192082.1,20,JP 2023502780-A/818: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192081.1,20,JP 2023502780-A/817: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192080.1,20,JP 2023502780-A/816: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192079.1,20,JP 2023502780-A/815: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192078.1,20,JP 2023502780-A/814: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192077.1,20,JP 2023502780-A/813: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG116175.1,20,JP 2022551087-A/26: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116174.1,20,JP 2022551087-A/25: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD291589.1,20,JP 2022519595-A/15: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG116171.1,20,JP 2022551087-A/22: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD291590.1,20,JP 2022519595-A/16: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291591.1,20,JP 2022519595-A/17: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291592.1,20,JP 2022519595-A/18: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG116167.1,20,JP 2022551087-A/18: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116187.1,20,JP 2022551087-A/38: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116186.1,20,JP 2022551087-A/37: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD291593.1,20,JP 2022519595-A/19: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG116181.1,20,JP 2022551087-A/32: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD291581.1,20,JP 2022519595-A/7: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291582.1,20,JP 2022519595-A/8: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291583.1,20,JP 2022519595-A/9: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291584.1,20,JP 2022519595-A/10: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291585.1,20,JP 2022519595-A/11: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291586.1,20,JP 2022519595-A/12: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291587.1,20,JP 2022519595-A/13: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291588.1,20,JP 2022519595-A/14: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
